"","LAESTAB","Ofstedphase","Easting","Northing","Academy","DistrictAdministrativecode","LSOAcode","LACode","IDACI","num_pupils","bad_out_chance","good_out_chance","URN","Schoolname","Typeofeducation","Region","Localauthority","Publicationdate","Overalleffectiveness","Previouspublicationdate","Previousfullinspectionoveralleffectiveness","daysbetween"
"118",9373214,"Primary",425515,243480,"0","E07000221","E01031245",937,"1",75,0.294231896156053,0.705768103843947,130882,"Newbold and Tredington CofE Primary School","Voluntary Controlled School","West Midlands","Warwickshire",2014-09-08,2,2012-11-20,3,657
"119",9373213,"Primary",449491,274879,"0","E07000220","E01031167",937,"3",235,0.211571487077298,0.788428512922702,130883,"St Matthew's Bloxam CofE Primary School","Voluntary Controlled School","West Midlands","Warwickshire",2019-04-08,3,2015-03-24,2,1476
"120",9373589,"Primary",446658,261018,"0","E07000221","E01031224",937,"1",197,0.225003721552878,0.774996278447122,130884,"St Lawrence CofE (Voluntary Aided) Primary School","Voluntary Aided School","West Midlands","Warwickshire",2016-03-22,2,2011-07-11,2,1716
"121",9372625,"Primary",451941,273799,"0","E07000220","E01031155",937,"1",577,0.260324972737186,0.739675027262814,130885,"Paddox Primary School","Community School","West Midlands","Warwickshire",2017-09-07,2,2010-03-26,1,2722
"122",9372626,"Primary",440252,277134,"0","E07000220","E01031151",937,"1",202,0.173829007334819,0.826170992665182,130886,"Binley Woods Primary School","Community School","West Midlands","Warwickshire",2019-10-10,3,2015-05-20,2,1604
"123",9372628,"Primary",453759,273785,"0","E07000220","E01031162",937,"2",326,0.234130721652075,0.765869278347925,130887,"Hillmorton Primary School","Community School","West Midlands","Warwickshire",2017-09-11,1,2013-03-21,2,1635
"124",9372629,"Primary",436471,290825,"0","E07000219","E01031116",937,"4",679,0.40918253968254,0.59081746031746,130889,"Wembrook Primary School","Community School","West Midlands","Warwickshire",2020-05-11,2,2017-12-21,3,872
"125",9372631,"Primary",437611,293895,"0","E07000219","E01031110",937,"1",421,0.274049099721313,0.725950900278686,130894,"Milby Primary School","Community School","West Midlands","Warwickshire",2015-11-05,2,2014-01-21,3,653
"126",9372632,"Primary",436640,293486,"0","E07000219","E01031112",937,"2",438,0.290294172752946,0.709705827247054,130895,"Weddington Primary School","Community School","West Midlands","Warwickshire",2019-05-09,2,2017-01-11,3,848
"127",9372633,"Primary",433405,286295,"0","E07000219","E01031088",937,"3",336,0.353805152050919,0.646194847949081,130896,"Newdigate Primary and Nursery School","Community School","West Midlands","Warwickshire",2015-02-04,2,2013-02-06,3,728
"128",9372634,"Primary",434415,285850,"0","E07000219","E01031089",937,"3",380,0.353805152050919,0.646194847949081,130897,"Goodyers End Primary School","Community School","West Midlands","Warwickshire",2017-12-12,2,2013-03-19,2,1729
"129",9372635,"Primary",435483,285835,"0","E07000219","E01031098",937,"3",191,0.221440325228394,0.778559674771606,130898,"Exhall Cedars Infant School","Community School","West Midlands","Warwickshire",2020-06-28,3,2014-07-10,2,2180
"130",9373590,"Primary",440844,273059,"0","E07000220","E01031150",937,"1",218,0.209245607657821,0.790754392342178,130910,"Knightlow CofE Primary School","Voluntary Aided School","West Midlands","Warwickshire",2012-11-08,1,2008-05-06,2,1647
