"","LAESTAB","Ofstedphase","Easting","Northing","Academy","DistrictAdministrativecode","LSOAcode","LACode","prev_out","IDACI","num_pupils","prev_good","curr_good","bad_out_chance","good_out_chance"
"175",9373047,"Primary",427929,307430,"1","E07000218","E01031036",937,"2","2",105,"Y",NA,0.132226820857726,0.867773179142274
"176",9373072,"Primary",428489,303623,"1","E07000218","E01031035",937,"2","2",159,"Y",NA,0.145670595062022,0.854329404937978
"177",9372642,"Primary",427538,298377,"1","E07000218","E01031017",937,"2","3",201,"Y",NA,0.155152172437504,0.844847827562496
"178",9372019,"Primary",431339,298103,"1","E07000218","E01031012",937,"2","3",299,"Y",NA,0.159842770920042,0.840157229079958
"179",9374006,"Secondary",449768,274117,"1","E07000220","E01031176",937,"3","2",716,"N",NA,0.196000057467403,0.803999942532596
"180",9372022,"Primary",447921,274676,"1","E07000220","E01032895",937,"3","3",241,"N",NA,0.130485314694142,0.869514685305858
"181",9372023,"Primary",424059,298039,"1","E07000218","E01031031",937,"2","3",160,"Y",NA,0.202745464231784,0.797254535768216
"182",9372025,"Primary",435269,291706,"1","E07000219","E01031047",937,"2","4",336,"Y",NA,0.234628544249567,0.765371455750432
"183",9375200,"Primary",412004,257843,"1","E07000221","E01031187",937,"2","2",58,"Y",NA,0.24361943415607,0.756380565843929
"184",9372026,"Primary",439157,286976,"1","E07000219","E01031067",937,"2","2",211,"Y",NA,0.12073633925879,0.879263660741211
"185",9373592,"Primary",437677,292926,"1","E07000219","E01031104",937,"2","1",419,"Y",NA,0.0921676898131155,0.907832310186884
"186",9372027,"Primary",407243,263353,"1","E07000221","E01031239",937,"3","2",223,"N",NA,0.101376211559942,0.898623788440057
"187",9372033,"Primary",425926,265026,"1","E07000222","E01031268",937,"2","1",213,"Y",NA,0.0833280753052873,0.916671924694713
"188",9372639,"Primary",428868,232563,"1","E07000221","E01031209",937,"2","1",90,"Y",NA,0.106092775747913,0.893907224252087
"189",9375206,"Primary",425634,240959,"1","E07000221","E01031215",937,"2","2",390,"Y",NA,0.113060174139069,0.886939825860931
"190",9372035,"Primary",433911,293122,"1","E07000219","E01031073",937,"3","5",224,"N",NA,0.220160744832096,0.779839255167904
"191",9373501,"Primary",431723,297178,"1","E07000218","E01031014",937,"2","3",179,"Y",NA,0.191044444635597,0.808955555364403
"192",9373502,"Primary",436094,287343,"1","E07000219","E01031064",937,"2","4",207,"Y",NA,0.211673213636722,0.788326786363278
"193",9373584,"Primary",436298,291307,"1","E07000219","E01031119",937,"1","3",537,"Y",NA,0.113014422135383,0.886985577864617
"194",9374803,"Secondary",435344,291162,"1","E07000219","E01031059",937,"2","3",1018,"Y",NA,0.196850066007062,0.803149933992938
"195",9375207,"Primary",428039,266285,"1","E07000222","E01031312",937,"2","2",432,"Y",NA,0.0927968951281306,0.90720310487187
"196",9372039,"Primary",436764,287283,"1","E07000219","E01031095",937,"2","4",455,"Y",NA,0.186466041182216,0.813533958817783
"197",9372041,"Primary",448918,275118,"1","E07000220","E01031168",937,"3","4",221,"N",NA,0.186529814593676,0.813470185406324
"198",9373180,"Primary",445270,267033,"1","E07000220","E01031166",937,"2","1",35,"Y",NA,0.127611042331137,0.872388957668863
"199",9374237,"Secondary",432144,268053,"1","E07000222","E01031278",937,"2","1",1460,"Y",NA,0.0741600715351494,0.925839928464851
"200",9372042,"Primary",419789,254613,"1","E07000221","E01031234",937,"1","1",217,"Y",NA,0.0836462578058523,0.916353742194147
"201",9372049,"Primary",443674,263702,"1","E07000221","E01031223",937,"2","1",99,"Y",NA,0.100633773984789,0.899366226015211
"202",9373508,"Primary",415507,265879,"1","E07000221","E01031203",937,"2","2",95,"Y",NA,0.140944825938968,0.859055174061032
"203",9373500,"Primary",409006,258008,"1","E07000221","E01031185",937,"3","2",105,"N",NA,0.0980410024862628,0.901958997513737
"204",9373506,"Primary",420311,255354,"1","E07000221","E01031229",937,"2","2",198,"Y",NA,0.130253920381374,0.869746079618626
"205",9374730,"Secondary",409229,257717,"1","E07000221","E01031186",937,"3","1",767,"N",NA,0.142067882209906,0.857932117790094
"206",9374114,"Secondary",441444,262297,"1","E07000221","E01031220",937,"1","1",1702,"Y",NA,0.0543811662916176,0.945618833708382
"207",9372624,"Primary",441629,262127,"1","E07000221","E01031221",937,"2","2",308,"Y",NA,0.129123700655756,0.870876299344244
"208",9372014,"Primary",439103,257804,"1","E07000221","E01031200",937,"2","1",162,"Y",NA,0.122904645655163,0.877095354344837
"209",9377005,"Special",415108,265312,"1","E07000221","E01031203",937,"4","2",27,"N",NA,0.569415346971843,0.430584653028157
"210",9374012,"Secondary",421569,296546,"1","E07000218","E01031033",937,"2","2",718,"Y",NA,0.209533076432574,0.790466923567425
"211",9377023,"Special",449494,273918,"1","E07000220","E01031175",937,"2","2",202,"Y",NA,0.0883487275117054,0.911651272488295
"212",9377047,"Special",420259,287704,"1","E07000218","E01031022",937,"2","3",204,"Y",NA,0.0801301404071697,0.919869859592831
"213",9373143,"Primary",426728,275360,"1","E07000222","E01031254",937,"2","1",105,"Y",NA,0.100633773984789,0.899366226015211
"214",9373588,"Primary",428966,268833,"1","E07000222","E01031284",937,"2","1",141,"Y",NA,0.101832970369696,0.898167029630304
"215",9373597,"Primary",450164,273902,"1","E07000220","E01031146",937,"3","4",221,"N",NA,0.186529814593676,0.813470185406324
"216",9372057,"Primary",407196,251515,"1","E07000221","E01031189",937,"4","3",43,"N",NA,0.260019952160072,0.739980047839928
"217",9377044,"Special",420155,256147,"1","E07000221","E01031228",937,"2","1",181,"Y",NA,0.0582153511667222,0.941784648833278
"218",9374014,"Secondary",447965,273993,"1","E07000220","E01032895",937,"4","2",951,"N",NA,0.346430257723244,0.653569742276756
"219",9373021,"Primary",407949,260256,"1","E07000221","E01031213",937,"2","2",161,"Y",NA,0.186904667862389,0.813095332137611
"220",9373066,"Primary",412298,254793,"1","E07000221","E01031188",937,"1","2",108,"Y",NA,0.114970655369619,0.885029344630381
"221",9373211,"Primary",442046,264950,"1","E07000221","E01031211",937,"2","2",184,"Y",NA,0.165119701099025,0.834880298900975
"222",9373585,"Primary",441928,262229,"1","E07000221","E01031220",937,"3","2",177,"N",NA,0.103243687791433,0.896756312208566
"223",9373586,"Primary",419966,288539,"1","E07000218","E01031021",937,"2","3",389,"Y",NA,0.162884403869804,0.837115596130196
"224",9372065,"Primary",431632,285206,"1","E07000219","E01031077",937,"4","4",133,"N",NA,0.410763786835028,0.589236213164972
"225",9372502,"Primary",418151,292786,"1","E07000218","E01031023",937,"2","2",115,"Y",NA,0.13682192285925,0.863178077140751
"226",9372610,"Primary",438208,252080,"1","E07000221","E01031194",937,"2","1",77,"Y",NA,0.106396332278478,0.893603667721522
"227",9374236,"Secondary",430077,272092,"1","E07000222","E01031298",937,"1","1",1820,"Y",NA,0.0533469473460063,0.946653052653994
"228",9374110,"Secondary",434146,251039,"1","E07000221","E01031205",937,"2","1",884,"Y",NA,0.176119821316232,0.823880178683768
